구,인구수,흡연률,흡연자수,흡연구역,금연구역
종로구,162413,19.8,32158,184,10686
중구,136276,25,34069,422,12480
용산구,245069,18.8,46073,212,8102
성동구,312991,20.4,63850,255,7620
광진구,369470,22.8,84239,158,9982
동대문구,363101,18.8,68263,393,9852
중랑구,405639,22.9,92891,248,7202
성북구,452292,20.6,93172,231,10538
강북구,319377,25.7,82080,350,7400
도봉구,339001,21.1,71529,227,6257
노원구,542603,19.5,105808,70,11074
은평구,488285,23.3,113770,365,10018
서대문구,324304,21.1,68428,240,8583
마포구,385985,17.8,68705,253,15105
양천구,465095,16.7,77671,134,9788
강서구,602230,19.8,119242,453,13883
구로구,439328,18.7,82154,250,10036
금천구,254061,23.8,60467,121,6657
영등포구,404229,17.2,69527,491,13881
동작구,412000,18.4,75808,165,8653
관악구,519864,23.5,122168,379,10616
서초구,435631,16.3,71008,244,16289
강남구,547602,19.9,108973,205,29565
송파구,686181,16.1,110475,145,16997
강동구,428547,15.8,67710,5,10963
